ID,Length,start,finish,Dates,SD
1,365,1,365,20150101-20151231,20150101
2,1825,366,2190,20160101-20201231,20160101
3,1825,2191,4015,20210101-20251231,20210101
4,1825,4016,5840,20260101-20301231,20260101
5,1825,5841,7665,20310101-20351231,20310101
6,1825,7666,9490,20360101-20401231,20360101
7,1825,9491,11315,20410101-20451231,20410101
8,1825,11316,13140,20460101-20501231,20460101
9,1825,13141,14965,20510101-20551231,20510101
10,1825,14966,16790,20560101-20601231,20560101
11,1825,16791,18615,20610101-20651231,20610101
12,1825,18616,20440,20660101-20701231,20660101
13,1825,20441,22265,20710101-20751231,20710101
14,1825,22266,24090,20760101-20801231,20760101
15,1825,24091,25915,20810101-20851231,20810101
16,1825,25916,27740,20860101-20901231,20860101
17,1825,27741,29565,20910101-20951231,20910101
18,1825,29566,31390,20960101-21001231,20960101
