CMCC-ESM2,EC-Earth3,EC-Earth3-Veg,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,NorESM2-MM,TaiESM1,CNRM-CM6-1,ACCESS-CM2,ACCESS-ESM1-5,CNRM-ESM2-1,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,NorESM2-LM
20150101-20391231,20150101-20151231,20150101-20151231,20150101-20341231,20150101-20641231,20150101-20641231,20150101-20191231,20150101-20201231,20150101-20241231,20150101-21001231,20150101-20641231,20150101-20641231,20150101-21001231,20150101-21001231,20150101-21001230,20150101-20241231,20150101-20201231
20400101-20641231,20160101-20161231,20160101-20161231,20350101-20541231,20650101-21001231,20650101-21001231,20200101-20241231,20210101-20301231,20250101-20341231,,20650101-21001231,20650101-21001231,,,,20250101-20341231,20210101-20301231
20650101-20891231,20170101-20171231,20170101-20171231,20550101-20741231,,,20250101-20291231,20310101-20401231,20350101-20441231,,,,,,,20350101-20441231,20310101-20401231
20900101-21001231,20180101-20181231,20180101-20181231,20750101-20941231,,,20300101-20341231,20410101-20501231,20450101-20541231,,,,,,,20450101-20541231,20410101-20501231
,20190101-20191231,20190101-20191231,20950101-21001231,,,20350101-20391231,20510101-20601231,20550101-20641231,,,,,,,20550101-20641231,20510101-20601231
,20200101-20201231,20200101-20201231,,,,20400101-20441231,20610101-20701231,20650101-20741231,,,,,,,20650101-20741231,20610101-20701231
,20210101-20211231,20210101-20211231,,,,20450101-20491231,20710101-20801231,20750101-20841231,,,,,,,20750101-20841231,20710101-20801231
,20220101-20221231,20220101-20221231,,,,20500101-20541231,20810101-20901231,20850101-20941231,,,,,,,20850101-20941231,20810101-20901231
,20230101-20231231,20230101-20231231,,,,20550101-20591231,20910101-21001231,20950101-21001231,,,,,,,20950101-21001231,20910101-21001231
,20240101-20241231,20240101-20241231,,,,20600101-20641231,,,,,,,,,,
,20250101-20251231,20250101-20251231,,,,20650101-20691231,,,,,,,,,,
,20260101-20261231,20260101-20261231,,,,20700101-20741231,,,,,,,,,,
,20270101-20271231,20270101-20271231,,,,20750101-20791231,,,,,,,,,,
,20280101-20281231,20280101-20281231,,,,20800101-20841231,,,,,,,,,,
,20290101-20291231,20290101-20291231,,,,20850101-20891231,,,,,,,,,,
,20300101-20301231,20300101-20301231,,,,20900101-20941231,,,,,,,,,,
,20310101-20311231,20310101-20311231,,,,20950101-20991231,,,,,,,,,,
,20320101-20321231,20320101-20321231,,,,21000101-21001231,,,,,,,,,,
,20330101-20331231,20330101-20331231,,,,,,,,,,,,,,
,20340101-20341231,20340101-20341231,,,,,,,,,,,,,,
,20350101-20351231,20350101-20351231,,,,,,,,,,,,,,
,20360101-20361231,20360101-20361231,,,,,,,,,,,,,,
,20370101-20371231,20370101-20371231,,,,,,,,,,,,,,
,20380101-20381231,20380101-20381231,,,,,,,,,,,,,,
,20390101-20391231,20390101-20391231,,,,,,,,,,,,,,
,20400101-20401231,20400101-20401231,,,,,,,,,,,,,,
,20410101-20411231,20410101-20411231,,,,,,,,,,,,,,
,20420101-20421231,20420101-20421231,,,,,,,,,,,,,,
,20430101-20431231,20430101-20431231,,,,,,,,,,,,,,
,20440101-20441231,20440101-20441231,,,,,,,,,,,,,,
,20450101-20451231,20450101-20451231,,,,,,,,,,,,,,
,20460101-20461231,20460101-20461231,,,,,,,,,,,,,,
,20470101-20471231,20470101-20471231,,,,,,,,,,,,,,
,20480101-20481231,20480101-20481231,,,,,,,,,,,,,,
,20490101-20491231,20490101-20491231,,,,,,,,,,,,,,
,20500101-20501231,20500101-20501231,,,,,,,,,,,,,,
,20510101-20511231,20510101-20511231,,,,,,,,,,,,,,
,20520101-20521231,20520101-20521231,,,,,,,,,,,,,,
,20530101-20531231,20530101-20531231,,,,,,,,,,,,,,
,20540101-20541231,20540101-20541231,,,,,,,,,,,,,,
,20550101-20551231,20550101-20551231,,,,,,,,,,,,,,
,20560101-20561231,20560101-20561231,,,,,,,,,,,,,,
,20570101-20571231,20570101-20571231,,,,,,,,,,,,,,
,20580101-20581231,20580101-20581231,,,,,,,,,,,,,,
,20590101-20591231,20590101-20591231,,,,,,,,,,,,,,
,20600101-20601231,20600101-20601231,,,,,,,,,,,,,,
,20610101-20611231,20610101-20611231,,,,,,,,,,,,,,
,20620101-20621231,20620101-20621231,,,,,,,,,,,,,,
,20630101-20631231,20630101-20631231,,,,,,,,,,,,,,
,20640101-20641231,20640101-20641231,,,,,,,,,,,,,,
,20650101-20651231,20650101-20651231,,,,,,,,,,,,,,
,20660101-20661231,20660101-20661231,,,,,,,,,,,,,,
