models,res,inst_id,vl,gl,n_files_h,n_files_f,pr_h,pr_ssp245,pr_ssp370,pr_ssp585,tasmax_h,tasmax_ssp245,tasmax_ssp370,tasmax_ssp585,tasmin_h,tasmin_ssp245,tasmin_ssp370,tasmin_ssp585,node,dataroot,path_hist,path_ssp,lat_res,lon_res,lat_length,lon_length,
CMCC-ESM2,100,CMCC,r1i1p1f1,gn,2,4,20210114,20210129,20210202,20210126,20210114,20210129,20210202,20210126,20210114,20210129,20210202,20210126,esgf-node2.cmcc.it,esg_dataroot,CMIP6/CMIP,CMIP6/ScenarioMIP,0.9375,1.25,,,
EC-Earth3,100,EC-Earth-Consortium,r1i1p1f1,gr,35,86,20200310,20200310,20200310,20200310,20200310,20200310,20200310,20200310,20200310,20200310,20200310,20200310,esg-dn2.nsc.liu.se,esg_dataroot1,cmip6data/CMIP6/CMIP,cmip6data/CMIP6/ScenarioMIP,0.703125,0.703125,,,
EC-Earth3-Veg,100,EC-Earth-Consortium,r1i1p1f1,gr,35,86,20211207,20221112,20221112,20221112,20211207,20221112,20221112,20221112,20211207,20221112,20221112,20221112,esg-dn1.nsc.liu.se,esg_dataroot10,cmip6data/CMIP6/CMIP,cmip6data/CMIP6/ScenarioMIP,0.703125,0.703125,,,
GFDL-ESM4,100,NOAA-GFDL,r1i1p1f1,gr1,3,5,20190726,20180701,20180701,20180701,20190726,20180701,20180701,20180701,20190726,20180701,20180701,20180701,esgdata.gfdl.noaa.gov,gfdl_dataroot4,CMIP,ScenarioMIP,1,1.25,,,
INM-CM4-8,100,INM,r1i1p1f1,gr1,2,2,20190530,20190603,20190603,20190603,20190530,20190603,20190603,20190603,20190530,20190603,20190603,20190603,esgf3.dkrz.de,cmip6,CMIP,ScenarioMIP,1.5,2,,,
INM-CM5-0,100,INM,r1i1p1f1,gr1,2,2,20190610,20190619,20190618,20190724,20190610,20190619,20190618,20190724,20190610,20190619,20190618,20190724,esgf3.dkrz.de,cmip6,CMIP,ScenarioMIP,1.5,2,,,
MPI-ESM1-2-HR,100,MPI-M,r1i1p1f1,gn,7,18,20190710,20190710,20190710,20190710,20190710,20190710,20190710,20190710,20190710,20190710,20190710,20190710,esgf3.dkrz.de,cmip6,CMIP,ScenarioMIP/DKRZ,0.9375,0.9375,,,
NorESM2-MM,100,NCC,r1i1p1f1,gn,4,9,20191108,20191108,20191108,20191108,20191108,20191108,20191108,20191108,20191108,20191108,20191108,20191108,noresg.nird.sigma2.no,esg_dataroot,cmor/CMIP6/CMIP,cmor/CMIP6/ScenarioMIP,0.9375,1.25,,,
TaiESM1,100,AS-RCEC,r1i1p1f1,gn,4,9,20200626,20210222,20210323,20200902,20210517,20210222,20210323,20210721,20210517,20210222,20210323,20210721,esgf.rcec.sinica.edu.tw,my_cmip6_dataroot,CMIP,ScenarioMIP,0.9375,1.25,,,
CNRM-CM6-1,250,CNRM-CERFACS,r1i1p1f2,gr,1,1,20180917,20190219,20190219,20190219,20180917,20190219,20190219,20190219,20180917,20190219,20190219,20190219,esg1.umr-cnrm.fr,CMIP6_CNRM,CMIP,ScenarioMIP,1.40625,1.40625,11,18,
ACCESS-CM2,250,CSIRO-ARCCSS,r1i1p1f1,gn,2,2,20191108,20191108,20191108,20210317,20191108,20191108,20191108,20210317,20191108,20191108,20191108,20210317,esgf.nci.org.au,master,CMIP6/CMIP,CMIP6/ScenarioMIP,1.25,1.875,12,15,
ACCESS-ESM1-5,250,CSIRO,r1i1p1f1,gn,2,2,20191115,20191115,20191115,20210318,20191115,20191115,20191115,20210318,20191115,20191115,20191115,20210318,esgf.nci.org.au,master,CMIP6/CMIP,CMIP6/ScenarioMIP,1.24137931,1.875,12,15,
CNRM-ESM2-1,250,CNRM-CERFACS,r1i1p1f2,gr,1,1,20181206,20190328,20191021,20191021,20181206,20190328,20191021,20191021,20181206,20190328,20191021,20191021,esg1.umr-cnrm.fr,CMIP6_CNRM,CMIP,ScenarioMIP,1.40625,1.40625,11,18,
IPSL-CM6A-LR,250,IPSL,r1i1p1f1,gr,1,1,20180803,20190119,20190119,20190903,20190614,20190614,20190614,20190903,20180803,20190119,20190119,20190903,vesg.ipsl.upmc.fr,cmip6,CMIP,ScenarioMIP,1.258741259,2.5,12,12,
KACE-1-0-G,250,NIMS-KMA,r1i1p1f1,gr,1,1,20190911,20191125,20191125,20190920,20200316,20200317,20200317,20200317,20200316,20200317,20200317,20200317,esgf-nimscmip6.apcc21.org,my_cmip6_dataroot,Historical/R1/day/CMIP6/CMIP,ScenarioMIP/ssp585/R1/aa008z-day/CMIP6/ScenarioMIP,1.25,1.875,12,15,ScenarioMIP/ssp245/t2/aa008u-day/CMIP6/ScenarioMIP
MIROC6,250,MIROC,r1i1p1f1,gn,4,9,20191016,20191016,20191016,20191016,20191016,20191016,20191016,20191016,20191016,20191016,20191016,20191016,esgf-data02.diasjp.net,esg_dataroot,CMIP6/CMIP,CMIP6/ScenarioMIP,1.40625,1.40625,11,18,ScenarioMIP/ssp370/t2/aa005r-day/CMIP6/ScenarioMIP
NorESM2-LM,250,NCC,r1i1p1f1,gn,4,9,20190815,20191108,20191108,20191108,20190815,20191108,20191108,20191108,20190815,20191108,20191108,20191108,noresg.nird.sigma2.no,esg_dataroot,cmor/CMIP6/CMIP,cmor/CMIP6/ScenarioMIP,1.875,2.5,9,12,
